sizeCol,sizeRow,title,solution,difficulty,colClues,rowClues
15,15,Zodiac Sign: Leo,http://static.nonograms.org/files/nonograms/large/znak_zodiaka_lev2_12_1_1p.png,3/10,0,0
45,38,Winter night,http://static.nonograms.org/files/nonograms/large/zimnyaya_noch16_12_1_1p.png,7/10,0,0
18,28,Fish,http://static.nonograms.org/files/nonograms/large/ribka59_12_1_1p.png,6/10,0,0
42,28,Deer,http://static.nonograms.org/files/nonograms/large/olen45_12_1_1p.png,5/10,0,0
15,15,Zodiac Sign: Libra,http://static.nonograms.org/files/nonograms/large/znak_zodiaka_vesi3_12_1_1p.png,3/10,0,0
15,19,Panda,http://static.nonograms.org/files/nonograms/large/panda51_12_1_1p.png,3/10,0,0
15,15,Zodiac Sign: Pisces,http://static.nonograms.org/files/nonograms/large/znak_zodiaka_ribi2_12_1_1p.png,3/10,0,0
18,17,Cock,http://static.nonograms.org/files/nonograms/large/petuh37_12_1_1p.png,5/10,0,0
30,30,Fabulous Tree,http://static.nonograms.org/files/nonograms/large/skazochno_vesyoloe_derevo_12_1_1p.png,6/10,0,0
15,15,Zodiac Sign: Gemini,http://static.nonograms.org/files/nonograms/large/znak_zodiaka_blizneci2_12_1_1p.png,4/10,0,0
30,30,Rooster,http://static.nonograms.org/files/nonograms/large/petuh38_12_1_1p.png,6/10,0,0
33,37,Lambs,http://static.nonograms.org/files/nonograms/large/ovechki3_12_1_1p.png,4/10,0,0
20,30,Delicious Hot Dog,http://static.nonograms.org/files/nonograms/large/vkusniy_xot_dog_12_1_1p.png,4/10,0,0
11,31,Chickens,http://static.nonograms.org/files/nonograms/large/ciplyata11_12_1_1p.png,5/10,0,0
15,15,Zodiac Sign: Sagittarius,http://static.nonograms.org/files/nonograms/large/znak_zodiaka_strelec2_12_1_1p.png,4/10,0,0
15,15,Zodiac Sign: Taurus,http://static.nonograms.org/files/nonograms/large/znak_zodiaka_telec2_12_1_1p.png,4/10,0,0
30,31,Peacock,http://static.nonograms.org/files/nonograms/large/pavlin31_12_1_1p.png,8/10,0,0
45,45,Michael J. Moorcock,http://static.nonograms.org/files/nonograms/large/maykl_dzhon_murkok_12_1_1p.png,6/10,0,0
30,32,Peacock,http://static.nonograms.org/files/nonograms/large/pavlin32_12_1_1p.png,6/10,0,0
45,35,Reading the Paper,http://static.nonograms.org/files/nonograms/large/chtenie_gazeti2_12_1_1p.png,6/10,0,0
41,35,Dance,http://static.nonograms.org/files/nonograms/large/tanec24_12_1_1p.png,5/10,0,0
45,30,Dying Light,http://static.nonograms.org/files/nonograms/large/ugasayushiy_svet_12_1_1p.png,7/10,0,0
45,35,Girl,http://static.nonograms.org/files/nonograms/large/devushka119_12_1_1p.png,6/10,0,0
45,33,Goat,http://static.nonograms.org/files/nonograms/large/kozlik9_12_1_1p.png,7/10,0,0
43,45,Burro,http://static.nonograms.org/files/nonograms/large/oslik18_12_1_1p.png,8/10,0,0
